"Year","Location Description","Data Source","Topic Description","Measure Description","Response","Data Value Type","Data Value","Low Confidence Limit","High Confidence Limit","Sample Size","Gender","Age","Race","Education"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.3","3.2","23.4","60","Overall","All Ages","Hispanic","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.9","20.1","23.7","4543","Overall","All Ages","White","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.5","19.9","23.1","6383","Overall","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.2","24.7","31.7","1168","Overall","25 to 44 Years","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.0","21.8","26.2","2567","Overall","45 to 64 Years","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","8.9","7.3","10.5","2370","Overall","65 Years and Older","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","34.8","29.5","40.1","772","Overall","Age 20 and Older","All Races","< 12th Grade"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.1","23.2","29.0","2003","Overall","Age 20 and Older","All Races","12th Grade"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.8","13.2","16.4","3521","Overall","Age 20 and Older","All Races","> 12th Grade"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","34.6","29.3","39.9","761","Overall","Age 25 and Older","All Races","< 12th Grade"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.3","23.3","29.3","1937","Overall","Age 25 and Older","All Races","12th Grade"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","15.2","13.5","16.9","3391","Overall","Age 25 and Older","All Races","> 12th Grade"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.3","18.7","25.9","1536","Overall","All Ages","African American","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","33.4","16.8","50.0","77","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.1","22.4","27.8","2161","Male","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.2","16.5","19.9","4222","Female","All Ages","All Races","All Grades"
"2013","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.7","18.4","25.0","911","Female","18 to 44 Years","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.2","22.5","25.9","6179","Overall","All Ages","White","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","23.8","22.4","25.2","8913","Overall","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.4","23.3","27.5","3595","Overall","45 to 64 Years","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","9.7","8.3","11.1","3111","Overall","65 Years and Older","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","38.5","34.2","42.8","1219","Overall","Age 20 and Older","All Races","< 12th Grade"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.5","24.1","28.9","2792","Overall","Age 20 and Older","All Races","12th Grade"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.3","15.6","19.0","4735","Overall","Age 20 and Older","All Races","> 12th Grade"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","36.5","32.2","40.8","1193","Overall","Age 25 and Older","All Races","< 12th Grade"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.0","23.6","28.4","2701","Overall","Age 25 and Older","All Races","12th Grade"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.6","15.0","18.2","4550","Overall","Age 25 and Older","All Races","> 12th Grade"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.0","19.3","24.7","2252","Overall","All Ages","African American","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","36.6","19.2","54.0","82","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","18.1","8.4","27.8","136","Overall","All Ages","Hispanic","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.5","21.7","33.3","383","Overall","18 to 24 Years","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.9","26.1","31.7","1748","Overall","25 to 44 Years","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.4","24.1","28.7","3026","Male","All Ages","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.3","24.1","30.5","1349","Female","18 to 44 Years","All Races","All Grades"
"2012","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.4","19.7","23.1","5887","Female","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","51.6","34.9","68.3","68","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","27.4","14.6","40.2","121","Overall","All Ages","Hispanic","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","23.1","26.7","5257","Overall","All Ages","White","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","22.8","25.8","7660","Overall","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","30.3","24.6","36.0","382","Overall","18 to 24 Years","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.2","25.3","31.1","1546","Overall","25 to 44 Years","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.2","24.1","28.3","3074","Overall","45 to 64 Years","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","10.2","8.6","11.8","2601","Overall","65 Years and Older","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","40.9","36.7","45.1","1188","Overall","Age 20 and Older","All Races","< 12th Grade"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","26.0","23.3","28.7","2444","Overall","Age 20 and Older","All Races","12th Grade"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.7","16.0","19.4","3861","Overall","Age 20 and Older","All Races","> 12th Grade"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","37.5","33.3","41.7","1153","Overall","Age 25 and Older","All Races","< 12th Grade"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.9","22.2","27.6","2349","Overall","Age 25 and Older","All Races","12th Grade"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.5","15.7","19.3","3704","Overall","Age 25 and Older","All Races","> 12th Grade"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.7","17.9","23.5","1996","Overall","All Ages","African American","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","28.0","25.6","30.4","2610","Male","All Ages","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","24.3","21.1","27.5","1235","Female","18 to 44 Years","All Races","All Grades"
"2011","Alabama","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.0","19.3","22.7","5050","Female","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.8","9.4","16.2","857","Overall","65 Years and Older","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","39.1","28.4","49.8","158","Overall","Age 20 and Older","All Races","< 12th Grade"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.1","18.0","26.2","655","Overall","25 to 44 Years","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.4","16.0","22.8","1018","Overall","45 to 64 Years","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.9","10.6","23.2","168","Overall","18 to 24 Years","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.1","16.9","21.3","2698","Overall","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.0","5.4","26.6","91","Overall","All Ages","Hispanic","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","14.7","12.5","16.9","1940","Overall","All Ages","White","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","38.6","31.7","45.5","375","Overall","All Ages","American Indian/Alaska Native","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","22.6","9.8","35.4","83","Overall","All Ages","Asian/Pacific Islander","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.5","10.0","15.0","1696","Overall","Age 25 and Older","All Races","> 12th Grade"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","*","*","*","*","Overall","All Ages","African American","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","37.8","26.8","48.8","151","Overall","Age 25 and Older","All Races","< 12th Grade"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","31.2","26.4","36.0","677","Overall","Age 25 and Older","All Races","12th Grade"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","30.5","25.9","35.1","732","Overall","Age 20 and Older","All Races","12th Grade"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","12.1","9.7","14.5","1747","Overall","Age 20 and Older","All Races","> 12th Grade"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.8","17.7","23.9","1348","Male","All Ages","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","19.8","14.9","24.7","376","Female","18 to 44 Years","All Races","All Grades"
"2018","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","17.3","14.4","20.2","1347","Female","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","20.8","11.9","29.7","161","Overall","18 to 24 Years","All Races","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","25.0","20.1","29.9","728","Overall","25 to 44 Years","All Races","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.2","17.3","25.1","1295","Overall","45 to 64 Years","All Races","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","21.0","18.3","23.7","3084","Overall","All Ages","All Races","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","13.8","4.6","23.0","82","Overall","All Ages","Hispanic","All Grades"
"2017","Alaska","BRFSS","Cigarette Use (Adults)","Current Smoking","","Percentage","16.7","14.1","19.3","2193","Overall","All Ages","White","All Grades"
