"Year","State","Unemployment","TaxRate","SampleSize","Gender","Age","Race","Education","SmokeRate","LowConf","HighConf"
2011,"AR",0.0830534942701484,38.9,620,"Overall","All Ages","African American","All Grades",27.3,20.3,34.3
2011,"AR",0.0830534942701484,38.9,NA,"Overall","All Ages","Asian/Pacific Islander","All Grades",NA,NA,NA
2011,"AR",0.0830534942701484,38.9,2224,"Overall","Age 25 and Older","All Races","> 12th Grade",19,16.3,21.7
2011,"AR",0.0830534942701484,38.9,139,"Overall","All Ages","Hispanic","All Grades",15.1,4.4,25.8
2011,"AZ",0.0950100361670798,46.4,850,"Female","18 to 44 Years","All Races","All Grades",20.1,14.8,25.4
2011,"AZ",0.0950100361670798,46.4,2555,"Overall","65 Years and Older","All Races","All Grades",9,7.3,10.7
2011,"AZ",0.0950100361670798,46.4,1614,"Overall","Age 25 and Older","All Races","12th Grade",24,19.9,28.1
2011,"AZ",0.0950100361670798,46.4,109,"Overall","All Ages","African American","All Grades",27.3,16.1,38.5
2011,"AZ",0.0950100361670798,46.4,2500,"Male","All Ages","All Races","All Grades",21,18.1,23.9
2011,"AZ",0.0950100361670798,46.4,570,"Overall","Age 25 and Older","All Races","< 12th Grade",28.6,19.9,37.3
2011,"AZ",0.0950100361670798,46.4,80,"Overall","All Ages","Asian/Pacific Islander","All Grades",13.3,0,28.7
2011,"AZ",0.0950100361670798,46.4,3935,"Female","All Ages","All Races","All Grades",17.5,14.7,20.3
2011,"AZ",0.0950100361670798,46.4,3918,"Overall","Age 25 and Older","All Races","> 12th Grade",14.9,12.9,16.9
2011,"AZ",0.0950100361670798,46.4,1098,"Overall","All Ages","Hispanic","All Grades",13.3,9.6,17
2011,"AZ",0.0950100361670798,46.4,587,"Overall","Age 20 and Older","All Races","< 12th Grade",27.9,19.6,36.2
2011,"AZ",0.0950100361670798,46.4,1200,"Overall","25 to 44 Years","All Races","All Grades",23,18.8,27.2
2011,"AZ",0.0950100361670798,46.4,4011,"Overall","Age 20 and Older","All Races","> 12th Grade",14.7,12.7,16.7
2011,"AZ",0.0950100361670798,46.4,1670,"Overall","Age 20 and Older","All Races","12th Grade",24.1,20.1,28.1
2011,"AZ",0.0950100361670798,46.4,2359,"Overall","45 to 64 Years","All Races","All Grades",20.8,17.9,23.7
2011,"AZ",0.0950100361670798,46.4,6435,"Overall","All Ages","All Races","All Grades",19.3,17.3,21.3
2011,"AZ",0.0950100361670798,46.4,4638,"Overall","All Ages","White","All Grades",21.7,19.1,24.3
2011,"AZ",0.0950100361670798,46.4,284,"Overall","All Ages","American Indian/Alaska Native","All Grades",20,10.8,29.2
2011,"AZ",0.0950100361670798,46.4,250,"Overall","18 to 24 Years","All Races","All Grades",19.2,12.8,25.6
2011,"CA",0.117130462505594,34.8,17985,"Overall","All Ages","All Races","All Grades",13.7,13,14.4
2011,"CA",0.117130462505594,34.8,10649,"Female","All Ages","All Races","All Grades",10,9.2,10.8
2011,"CA",0.117130462505594,34.8,1024,"Overall","All Ages","Asian/Pacific Islander","All Grades",8,6,10
2011,"CA",0.117130462505594,34.8,2033,"Overall","Age 20 and Older","All Races","< 12th Grade",15.3,13.2,17.4
2011,"CA",0.117130462505594,34.8,5501,"Overall","65 Years and Older","All Races","All Grades",6.9,6,7.8
2011,"CA",0.117130462505594,34.8,1990,"Overall","Age 25 and Older","All Races","< 12th Grade",15,12.9,17.1
2011,"CA",0.117130462505594,34.8,11388,"Overall","All Ages","White","All Grades",15.1,14.1,16.1
2011,"CA",0.117130462505594,34.8,4303,"Overall","All Ages","Hispanic","All Grades",12,10.7,13.3
2011,"CA",0.117130462505594,34.8,158,"Overall","All Ages","American Indian/Alaska Native","All Grades",24,14.7,33.3
2011,"CA",0.117130462505594,34.8,3235,"Female","18 to 44 Years","All Races","All Grades",10.4,9.1,11.7
2011,"CA",0.117130462505594,34.8,947,"Overall","18 to 24 Years","All Races","All Grades",13.4,11,15.8
2011,"CA",0.117130462505594,34.8,6796,"Overall","45 to 64 Years","All Races","All Grades",13.7,12.6,14.8
2011,"CA",0.117130462505594,34.8,4739,"Overall","25 to 44 Years","All Races","All Grades",16.4,15,17.8
2011,"CA",0.117130462505594,34.8,2975,"Overall","Age 25 and Older","All Races","12th Grade",19.6,17.5,21.7
2011,"CA",0.117130462505594,34.8,12332,"Overall","Age 20 and Older","All Races","> 12th Grade",11.4,10.6,12.2
2011,"CA",0.117130462505594,34.8,3132,"Overall","Age 20 and Older","All Races","12th Grade",19.5,17.5,21.5
2011,"CA",0.117130462505594,34.8,7336,"Male","All Ages","All Races","All Grades",17.3,16,18.6
2011,"CA",0.117130462505594,34.8,690,"Overall","All Ages","African American","All Grades",19.8,15.6,24
2011,"CA",0.117130462505594,34.8,11877,"Overall","Age 25 and Older","All Races","> 12th Grade",11.2,10.4,12
2011,"CO",0.0836297423617111,35.5,262,"Overall","All Ages","African American","All Grades",23.2,15.5,30.9
2011,"CO",0.0836297423617111,35.5,13516,"Overall","All Ages","All Races","All Grades",18.3,17.2,19.4
2011,"CO",0.0836297423617111,35.5,147,"Overall","All Ages","Asian/Pacific Islander","All Grades",10.2,3.5,16.9
2011,"CO",0.0836297423617111,35.5,1920,"Female","18 to 44 Years","All Races","All Grades",16.9,14.7,19.1
2011,"CO",0.0836297423617111,35.5,1497,"Overall","All Ages","Hispanic","All Grades",20.2,17,23.4
2011,"CO",0.0836297423617111,35.5,11021,"Overall","All Ages","White","All Grades",17.6,16.5,18.7
2011,"CO",0.0836297423617111,35.5,90,"Overall","All Ages","American Indian/Alaska Native","All Grades",18.4,7.9,28.9
2011,"CO",0.0836297423617111,35.5,747,"Overall","Age 25 and Older","All Races","< 12th Grade",30.9,25.7,36.1
2011,"CO",0.0836297423617111,35.5,7786,"Female","All Ages","All Races","All Grades",15.2,14,16.4
2011,"CO",0.0836297423617111,35.5,8979,"Overall","Age 25 and Older","All Races","> 12th Grade",13.4,12.3,14.5
2011,"CO",0.0836297423617111,35.5,3094,"Overall","Age 25 and Older","All Races","12th Grade",24.6,22.2,27
2011,"CO",0.0836297423617111,35.5,4106,"Overall","65 Years and Older","All Races","All Grades",8.8,7.6,10
2011,"CO",0.0836297423617111,35.5,783,"Overall","Age 20 and Older","All Races","< 12th Grade",32.3,27.2,37.4
2011,"CO",0.0836297423617111,35.5,3204,"Overall","Age 20 and Older","All Races","12th Grade",25.1,22.7,27.5
2011,"CO",0.0836297423617111,35.5,9198,"Overall","Age 20 and Older","All Races","> 12th Grade",13.5,12.4,14.6
2011,"CO",0.0836297423617111,35.5,509,"Overall","18 to 24 Years","All Races","All Grades",21.6,17.6,25.6
2011,"CO",0.0836297423617111,35.5,5730,"Male","All Ages","All Races","All Grades",21.3,19.6,23
2011,"CO",0.0836297423617111,35.5,2917,"Overall","25 to 44 Years","All Races","All Grades",21.9,19.8,24
2011,"CO",0.0836297423617111,35.5,5822,"Overall","45 to 64 Years","All Races","All Grades",17.5,16.1,18.9
2011,"CT",0.0881613182547914,55.1,2727,"Overall","45 to 64 Years","All Races","All Grades",17.1,15.1,19.1
2011,"CT",0.0881613182547914,55.1,285,"Overall","18 to 24 Years","All Races","All Grades",19.4,13.5,25.3
2011,"CT",0.0881613182547914,55.1,6792,"Overall","All Ages","All Races","All Grades",17.1,15.7,18.5
2011,"CT",0.0881613182547914,55.1,5318,"Overall","All Ages","White","All Grades",16.8,15.1,18.5
2011,"CT",0.0881613182547914,55.1,544,"Overall","All Ages","Hispanic","All Grades",17.1,12.9,21.3
2011,"CT",0.0881613182547914,55.1,NA,"Overall","All Ages","American Indian/Alaska Native","All Grades",NA,NA,NA
2011,"CT",0.0881613182547914,55.1,180,"Overall","All Ages","Asian/Pacific Islander","All Grades",11.1,5.6,16.6
2011,"CT",0.0881613182547914,55.1,2060,"Overall","65 Years and Older","All Races","All Grades",8.5,7,10
2011,"CT",0.0881613182547914,55.1,1620,"Overall","25 to 44 Years","All Races","All Grades",21.5,18.7,24.3
2011,"CT",0.0881613182547914,55.1,468,"Overall","Age 20 and Older","All Races","< 12th Grade",22.2,17.3,27.1
2011,"CT",0.0881613182547914,55.1,455,"Overall","Age 25 and Older","All Races","< 12th Grade",21.8,16.8,26.8
2011,"CT",0.0881613182547914,55.1,1555,"Overall","Age 25 and Older","All Races","12th Grade",24.5,21.4,27.6
2011,"CT",0.0881613182547914,55.1,4537,"Overall","Age 20 and Older","All Races","> 12th Grade",13.2,11.6,14.8
2011,"CT",0.0881613182547914,55.1,1609,"Overall","Age 20 and Older","All Races","12th Grade",24.8,21.6,28
2011,"CT",0.0881613182547914,55.1,1110,"Female","18 to 44 Years","All Races","All Grades",18.4,14.9,21.9
2011,"CT",0.0881613182547914,55.1,4194,"Female","All Ages","All Races","All Grades",15.4,13.6,17.2
2011,"CT",0.0881613182547914,55.1,4387,"Overall","Age 25 and Older","All Races","> 12th Grade",12.5,11.1,13.9
2011,"CT",0.0881613182547914,55.1,503,"Overall","All Ages","African American","All Grades",20.8,15.8,25.8
2011,"CT",0.0881613182547914,55.1,2598,"Male","All Ages","All Races","All Grades",19,16.8,21.2
2011,"DC",0.101508646494364,54.4,737,"Female","18 to 44 Years","All Races","All Grades",17.2,13.6,20.8
2011,"DC",0.101508646494364,54.4,3368,"Overall","Age 20 and Older","All Races","> 12th Grade",14.4,12.4,16.4
2011,"DC",0.101508646494364,54.4,277,"Overall","Age 25 and Older","All Races","< 12th Grade",42.9,34.9,50.9
2011,"DC",0.101508646494364,54.4,728,"Overall","Age 25 and Older","All Races","12th Grade",29.6,24.8,34.4
2011,"DC",0.101508646494364,54.4,2017,"Overall","All Ages","African American","All Grades",30.8,27.4,34.2
2011,"DC",0.101508646494364,54.4,2795,"Female","All Ages","All Races","All Grades",17.1,14.9,19.3
2011,"DC",0.101508646494364,54.4,1723,"Male","All Ages","All Races","All Grades",25.1,21.6,28.6
2011,"DC",0.101508646494364,54.4,103,"Overall","All Ages","Asian/Pacific Islander","All Grades",9.6,3.1,16.1
2011,"DC",0.101508646494364,54.4,NA,"Overall","All Ages","American Indian/Alaska Native","All Grades",NA,NA,NA
2011,"DC",0.101508646494364,54.4,1804,"Overall","45 to 64 Years","All Races","All Grades",25.1,22.1,28.1
2011,"DC",0.101508646494364,54.4,1078,"Overall","25 to 44 Years","All Races","All Grades",22.9,19.4,26.4
2011,"DC",0.101508646494364,54.4,283,"Overall","Age 20 and Older","All Races","< 12th Grade",43.8,35.7,51.9
2011,"DC",0.101508646494364,54.4,1428,"Overall","65 Years and Older","All Races","All Grades",11,8.7,13.3
2011,"DC",0.101508646494364,54.4,4518,"Overall","All Ages","All Races","All Grades",20.8,18.8,22.8
2011,"DC",0.101508646494364,54.4,3291,"Overall","Age 25 and Older","All Races","> 12th Grade",15,13.1,16.9
2011,"DC",0.101508646494364,54.4,184,"Overall","All Ages","Hispanic","All Grades",15.2,8.1,22.3
2011,"DC",0.101508646494364,54.4,127,"Overall","18 to 24 Years","All Races","All Grades",16.1,8.4,23.8
2011,"DC",0.101508646494364,54.4,1981,"Overall","All Ages","White","All Grades",9.6,7.5,11.7
2011,"DC",0.101508646494364,54.4,749,"Overall","Age 20 and Older","All Races","12th Grade",28.9,24.1,33.7
2011,"DE",0.0750224993064124,46.4,NA,"Overall","All Ages","American Indian/Alaska Native","All Grades",NA,NA,NA
2011,"DE",0.0750224993064124,46.4,771,"Female","18 to 44 Years","All Races","All Grades",20.6,16.6,24.6
2011,"DE",0.0750224993064124,46.4,2945,"Overall","Age 20 and Older","All Races","> 12th Grade",16.2,14.1,18.3
2011,"DE",0.0750224993064124,46.4,1400,"Overall","Age 20 and Older","All Races","12th Grade",26.8,23.4,30.2
2011,"DE",0.0750224993064124,46.4,1817,"Male","All Ages","All Races","All Grades",25.5,22.4,28.6
2011,"DE",0.0750224993064124,46.4,1539,"Overall","65 Years and Older","All Races","All Grades",8.9,6.9,10.9
2011,"DE",0.0750224993064124,46.4,1076,"Overall","25 to 44 Years","All Races","All Grades",30.6,26.7,34.5
2011,"DE",0.0750224993064124,46.4,2945,"Female","All Ages","All Races","All Grades",18.3,16.2,20.4
2011,"DE",0.0750224993064124,46.4,279,"Overall","Age 20 and Older","All Races","< 12th Grade",38.8,31.1,46.5
2011,"DE",0.0750224993064124,46.4,3679,"Overall","All Ages","White","All Grades",21.2,19.1,23.3
2011,"DE",0.0750224993064124,46.4,266,"Overall","Age 25 and Older","All Races","< 12th Grade",38.8,30.8,46.8
2011,"DE",0.0750224993064124,46.4,76,"Overall","All Ages","Asian/Pacific Islander","All Grades",13.3,1.4,25.2
2011,"DE",0.0750224993064124,46.4,240,"Overall","18 to 24 Years","All Races","All Grades",19.2,12.8,25.6
2011,"DE",0.0750224993064124,46.4,1346,"Overall","Age 25 and Older","All Races","12th Grade",26.5,23,30
2011,"DE",0.0750224993064124,46.4,2842,"Overall","Age 25 and Older","All Races","> 12th Grade",15.8,13.8,17.8
2011,"DE",0.0750224993064124,46.4,1849,"Overall","45 to 64 Years","All Races","All Grades",21.4,18.8,24
2011,"DE",0.0750224993064124,46.4,133,"Overall","All Ages","Hispanic","All Grades",26.6,16.7,36.5
2011,"DE",0.0750224993064124,46.4,683,"Overall","All Ages","African American","All Grades",21.5,16.8,26.2
2011,"DE",0.0750224993064124,46.4,4762,"Overall","All Ages","All Races","All Grades",21.8,19.9,23.7
2011,"FL",0.0998763621373319,42.6,1149,"Overall","All Ages","Hispanic","All Grades",15.1,12.3,17.9
2011,"FL",0.0998763621373319,42.6,7173,"Overall","Age 20 and Older","All Races","> 12th Grade",15.1,13.8,16.4
2011,"FL",0.0998763621373319,42.6,6953,"Overall","Age 25 and Older","All Races","> 12th Grade",14.9,13.6,16.2
2011,"FL",0.0998763621373319,42.6,9384,"Overall","All Ages","White","All Grades",21.2,19.8,22.6
2011,"FL",0.0998763621373319,42.6,99,"Overall","All Ages","American Indian/Alaska Native","All Grades",32.3,20.6,44
2011,"FL",0.0998763621373319,42.6,12320,"Overall","All Ages","All Races","All Grades",19.3,18.2,20.4
2011,"FL",0.0998763621373319,42.6,2313,"Overall","25 to 44 Years","All Races","All Grades",23,20.6,25.4
2011,"FL",0.0998763621373319,42.6,1155,"Overall","Age 25 and Older","All Races","< 12th Grade",28.7,24.6,32.8
2011,"FL",0.0998763621373319,42.6,1621,"Female","18 to 44 Years","All Races","All Grades",18.6,16,21.2
2011,"FL",0.0998763621373319,42.6,1185,"Overall","Age 20 and Older","All Races","< 12th Grade",29.2,25.1,33.3
2011,"FL",0.0998763621373319,42.6,7433,"Female","All Ages","All Races","All Grades",16.9,15.5,18.3
2011,"FL",0.0998763621373319,42.6,131,"Overall","All Ages","Asian/Pacific Islander","All Grades",5.6,1.6,9.6
2011,"FL",0.0998763621373319,42.6,4819,"Overall","65 Years and Older","All Races","All Grades",7.9,6.9,8.9
2011,"FL",0.0998763621373319,42.6,4887,"Male","All Ages","All Races","All Grades",21.8,19.9,23.7
2011,"FL",0.0998763621373319,42.6,4545,"Overall","45 to 64 Years","All Races","All Grades",23.4,21.5,25.3
2011,"FL",0.0998763621373319,42.6,3532,"Overall","Age 25 and Older","All Races","12th Grade",22.8,20.6,25
2011,"FL",0.0998763621373319,42.6,502,"Overall","18 to 24 Years","All Races","All Grades",20.1,15.8,24.4
2011,"FL",0.0998763621373319,42.6,3653,"Overall","Age 20 and Older","All Races","12th Grade",23,20.8,25.2
2011,"FL",0.0998763621373319,42.6,1085,"Overall","All Ages","African American","All Grades",16.4,12.9,19.9
2011,"GA",0.102228301921359,29.8,4132,"Overall","45 to 64 Years","All Races","All Grades",21.8,20,23.6
2011,"GA",0.102228301921359,29.8,3141,"Overall","65 Years and Older","All Races","All Grades",10.8,9.3,12.3
2011,"GA",0.102228301921359,29.8,9902,"Overall","All Ages","All Races","All Grades",21.2,19.9,22.5
2011,"GA",0.102228301921359,29.8,1094,"Overall","Age 25 and Older","All Races","< 12th Grade",34.4,29.9,38.9
2011,"GA",0.102228301921359,29.8,2760,"Overall","Age 20 and Older","All Races","12th Grade",23.9,21.5,26.3
2011,"GA",0.102228301921359,29.8,2191,"Overall","25 to 44 Years","All Races","All Grades",23.6,21.1,26.1
2011,"GA",0.102228301921359,29.8,55,"Overall","All Ages","American Indian/Alaska Native","All Grades",42.7,23.5,61.9
2011,"GA",0.102228301921359,29.8,1593,"Female","18 to 44 Years","All Races","All Grades",20.1,17.4,22.8
2011,"GA",0.102228301921359,29.8,6797,"Overall","All Ages","White","All Grades",24.2,22.5,25.9
2011,"GA",0.102228301921359,29.8,340,"Overall","18 to 24 Years","All Races","All Grades",25,19.8,30.2
2011,"GA",0.102228301921359,29.8,128,"Overall","All Ages","Asian/Pacific Islander","All Grades",10.9,4.1,17.7
2011,"GA",0.102228301921359,29.8,2676,"Overall","Age 25 and Older","All Races","12th Grade",23.7,21.3,26.1
2011,"GA",0.102228301921359,29.8,3525,"Male","All Ages","All Races","All Grades",24.3,22.1,26.5
2011,"GA",0.102228301921359,29.8,5640,"Overall","Age 25 and Older","All Races","> 12th Grade",14.8,13.4,16.2
2011,"GA",0.102228301921359,29.8,1119,"Overall","Age 20 and Older","All Races","< 12th Grade",35.7,31.2,40.2
2011,"GA",0.102228301921359,29.8,6377,"Female","All Ages","All Races","All Grades",18.2,16.7,19.7
2011,"GA",0.102228301921359,29.8,2230,"Overall","All Ages","African American","All Grades",17.5,14.9,20.1
2011,"GA",0.102228301921359,29.8,5789,"Overall","Age 20 and Older","All Races","> 12th Grade",15,13.6,16.4
2011,"GA",0.102228301921359,29.8,386,"Overall","All Ages","Hispanic","All Grades",12.6,7.9,17.3
2011,"HI",0.0680570385684319,47.9,NA,"Overall","All Ages","African American","All Grades",NA,NA,NA
2011,"HI",0.0680570385684319,47.9,1040,"Female","18 to 44 Years","All Races","All Grades",17.1,14,20.2
2011,"HI",0.0680570385684319,47.9,3270,"Male","All Ages","All Races","All Grades",19.7,17.5,21.9
2011,"HI",0.0680570385684319,47.9,3087,"Overall","45 to 64 Years","All Races","All Grades",16.5,14.6,18.4
2011,"HI",0.0680570385684319,47.9,339,"Overall","18 to 24 Years","All Races","All Grades",23.2,17,29.4
2011,"HI",0.0680570385684319,47.9,1578,"Overall","25 to 44 Years","All Races","All Grades",20.6,18,23.2
2011,"HI",0.0680570385684319,47.9,7578,"Overall","All Ages","All Races","All Grades",16.8,15.4,18.2
2011,"HI",0.0680570385684319,47.9,2509,"Overall","All Ages","White","All Grades",15.3,12.8,17.8
2011,"HI",0.0680570385684319,47.9,513,"Overall","All Ages","Hispanic","All Grades",26.7,20.4,33
2011,"HI",0.0680570385684319,47.9,2757,"Overall","All Ages","Asian/Pacific Islander","All Grades",12,10.1,13.9
2011,"HI",0.0680570385684319,47.9,NA,"Overall","All Ages","American Indian/Alaska Native","All Grades",NA,NA,NA
2011,"HI",0.0680570385684319,47.9,2516,"Overall","65 Years and Older","All Races","All Grades",6.6,5,8.2
2011,"HI",0.0680570385684319,47.9,1989,"Overall","Age 20 and Older","All Races","12th Grade",21.8,19,24.6
2011,"HI",0.0680570385684319,47.9,365,"Overall","Age 20 and Older","All Races","< 12th Grade",27.3,20.8,33.8
2011,"HI",0.0680570385684319,47.9,4308,"Female","All Ages","All Races","All Grades",13.9,12.2,15.6
2011,"HI",0.0680570385684319,47.9,1884,"Overall","Age 25 and Older","All Races","12th Grade",21.2,18.4,24
2011,"HI",0.0680570385684319,47.9,4938,"Overall","Age 25 and Older","All Races","> 12th Grade",12.1,10.7,13.5
2011,"HI",0.0680570385684319,47.9,5068,"Overall","Age 20 and Older","All Races","> 12th Grade",11.9,10.6,13.2
2011,"HI",0.0680570385684319,47.9,351,"Overall","Age 25 and Older","All Races","< 12th Grade",25.1,18.5,31.7
2011,"IA",0.0554654241160452,41,1644,"Overall","25 to 44 Years","All Races","All Grades",25.6,23,28.2
2011,"IA",0.0554654241160452,41,407,"Overall","18 to 24 Years","All Races","All Grades",27.1,22.3,31.9
2011,"IA",0.0554654241160452,41,123,"Overall","All Ages","African American","All Grades",32.9,21.5,44.3
2011,"IA",0.0554654241160452,41,4011,"Overall","Age 25 and Older","All Races","> 12th Grade",15.6,14.1,17.1
2011,"IA",0.0554654241160452,41,NA,"Overall","All Ages","American Indian/Alaska Native","All Grades",NA,NA,NA
2011,"IA",0.0554654241160452,41,214,"Overall","All Ages","Hispanic","All Grades",18.9,12.2,25.6
2011,"IA",0.0554654241160452,41,2733,"Overall","45 to 64 Years","All Races","All Grades",20.4,18.6,22.2
2011,"IA",0.0554654241160452,41,4331,"Female","All Ages","All Races","All Grades",18.6,17,20.2
2011,"IA",0.0554654241160452,41,65,"Overall","All Ages","Asian/Pacific Islander","All Grades",16.3,5.5,27.1
2011,"IA",0.0554654241160452,41,2450,"Overall","Age 20 and Older","All Races","12th Grade",23.9,21.7,26.1
2011,"IA",0.0554654241160452,41,2996,"Male","All Ages","All Races","All Grades",22.2,20.3,24.1
2011,"IA",0.0554654241160452,41,4198,"Overall","Age 20 and Older","All Races","> 12th Grade",15.8,14.3,17.3
2011,"IA",0.0554654241160452,41,7327,"Overall","All Ages","All Races","All Grades",20.4,19.2,21.6
2011,"IA",0.0554654241160452,41,6779,"Overall","All Ages","White","All Grades",19.9,18.6,21.2
2011,"IA",0.0554654241160452,41,2362,"Overall","Age 25 and Older","All Races","12th Grade",21.8,19.7,23.9
2011,"IA",0.0554654241160452,41,472,"Overall","Age 20 and Older","All Races","< 12th Grade",35.8,30,41.6
2011,"IA",0.0554654241160452,41,2464,"Overall","65 Years and Older","All Races","All Grades",7.1,5.7,8.5
2011,"IA",0.0554654241160452,41,455,"Overall","Age 25 and Older","All Races","< 12th Grade",32.8,27,38.6
